Central African Republic,"5,203.00 km",Cameroon 797 km Chad 1197 km Democratic Republic of the Congo 1577 km Republic of the Congo 467 km Sudan 1165 km
Ethiopia,"5,328.00 km",Djibouti 349 km Eritrea 912 km Kenya 861 km Somalia 1600 km Sudan 1606 km
Iran,"5,440.00 km",Afghanistan 936 km Armenia 35 km Azerbaijan-proper 432 km Azerbaijan-Naxcivan exclave 179 km Iraq 1458 km Pakistan 909 km Turkey 499 km Turkmenistan 992 km
"Congo, Republic of the","5,504.00 km",Angola 201 km Cameroon 523 km Central African Republic 467 km Democratic Republic of the Congo 2410 km Gabon 1903 km
Afghanistan,"5,529.00 km",China 76 km Iran 936 km Pakistan 2430 km Tajikistan 1206 km Turkmenistan 744 km Uzbekistan 137 km
Zambia,"5,664.00 km",Angola 1110 km Democratic Republic of the Congo 1930 km Malawi 837 km Mozambique 419 km Namibia 233 km Tanzania 338 km Zimbabwe 797 km
Niger,"5,697.00 km",Algeria 956 km Benin 266 km Burkina Faso 628 km Chad 1175 km Libya 354 km Mali 821 km Nigeria 1497 km
Burma,"5,876.00 km",Bangladesh 193 km China 2185 km India 1463 km Laos 235 km Thailand 1800 km
Chad,"5,968.00 km",Cameroon 1094 km Central African Republic 1197 km Libya 1055 km Niger 1175 km Nigeria 87 km Sudan 1360 km
Uzbekistan,"6,221.00 km",Afghanistan 137 km Kazakhstan 2203 km Kyrgyzstan 1099 km Tajikistan 1161 km Turkmenistan 1621 km
Colombia,"6,309.00 km",Brazil 1644 km Ecuador 590 km Panama 225 km Peru 1800 km Venezuela 2050 km
Chile,"6,339.00 km",Argentina 5308 km Bolivia 860 km Peru 171 km
Algeria,"6,343.00 km",Libya 982 km Mali 1376 km Mauritania 463 km Morocco 1559 km Niger 956 km Tunisia 965 km Western Sahara 42 km
Pakistan,"6,774.00 km",Afghanistan 2430 km China 523 km India 2912 km Iran 909 km
Bolivia,"6,940.00 km",Argentina 832 km Brazil 3423 km Chile 860 km Paraguay 750 km Peru 1075 km
Mali,"7,243.00 km",Algeria 1376 km Burkina Faso 1000 km Guinea 858 km Cote d'Ivoire 532 km Mauritania 2237 km Niger 821 km Senegal 419 km
Peru,"7,461.00 km",Bolivia 1075 km Brazil 2995 km Chile 171 km Colombia 1800 km Ecuador 1420 km
Sudan,"7,687.00 km",Central African Republic 1165 km Chad 1360 km Democratic Republic of the Congo 628 km Egypt 1273 km Eritrea 605 km Ethiopia 1606 km Kenya 232 km Libya 383 km Uganda 435 km
Mongolia,"8,220.00 km",China 4677 km Russia 3543 km
Canada,"8,893.00 km",US 8893 km (includes 2477 km with Alaska)
Argentina,"9,861.00 km",Bolivia 832 km Brazil 1261 km Chile 5308 km Paraguay 1880 km Uruguay 580 km
"Congo, Democratic Republic of the","10,730.00 km",Angola 2511 km (of which 225 km is the boundary of Angola's discontiguous Cabinda Province) Burundi 233 km Central African Republic 1577 km Republic of the Congo 2410 km Rwanda 217 km Sudan 628 km Tanzania 459 km Uganda 765 km Zambia 1930 km
United States,"12,034.00 km",Canada 8893 km (including 2477 km with Alaska) Mexico 3141 km
Kazakhstan,"12,185.00 km",China 1533 km Kyrgyzstan 1224 km Russia 6846 km Turkmenistan 379 km Uzbekistan 2203 km
India,"14,103.00 km",Bangladesh 4053 km Bhutan 605 km Burma 1463 km China 3380 km Nepal 1690 km Pakistan 2912 km
Brazil,"16,885.00 km",Argentina 1261 km Bolivia 3423 km Colombia 1644 km French Guiana 730 km Guyana 1606 km Paraguay 1365 km Peru 2995 km Suriname 593 km Uruguay 1068 km Venezuela 2200 km
Russia,"20,241.50 km",Azerbaijan 284 km Belarus 959 km China (southeast) 3605 km China (south) 40 km Estonia 290 km Finland 1313 km Georgia 723 km Kazakhstan 6846 km North Korea 17.5 km Latvia 292 km Lithuania (Kaliningrad Oblast) 227 km Mongolia 3441 km Norway 196 km Poland (Kaliningrad Oblast) 432 km Ukraine 1576 km
China,"22,117.00 km","Afghanistan 76 km Bhutan 470 km Burma 2185 km India 3380 km Kazakhstan 1533 km North Korea 1416 km Kyrgyzstan 858 km Laos 423 km Mongolia 4677 km Nepal 1236 km Pakistan 523 km Russia (northeast) 3605 km Russia (northwest) 40 km Tajikistan 414 km Vietnam 1281 km; regional borders: Hong Kong 30 km, Macau 0.34 km"
