"dispnum","dispnum4","ccode","stabb","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version"
1209,-9,160,"ARG",15,5,1962,-9,11,1962,0,0,0,-9,1,-9,17,4,1,"gml-2.1"
1213,-9,2,"USA",19,3,1964,2,6,1969,1,0,0,-9,1,-9,16,4,1,"gml-2.1"
1213,-9,811,"CAM",19,3,1964,2,6,1969,0,0,0,-9,-9,-9,17,4,1,"gml-2.1"
1213,-9,817,"RVN",19,3,1964,2,6,1969,1,1,2,-9,-9,-9,16,4,1,"gml-2.1"
1214,-9,811,"CAM",-9,2,1956,-9,2,1956,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1214,-9,817,"RVN",-9,2,1956,-9,2,1956,1,1,1,-9,0,0,15,4,1,"gml-2.1"
1215,-9,811,"CAM",-9,5,1958,29,6,1958,0,1,1,-9,0,0,16,4,1,"gml-2.1"
1215,-9,817,"RVN",-9,5,1958,29,6,1958,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1219,-9,290,"POL",1,1,1919,18,9,1920,0,1,1,-9,6,-9,20,5,1,"gml-2.1"
1219,-9,365,"RUS",1,1,1919,18,9,1920,1,1,1,-9,6,-9,20,5,1,"gml-2.1"
1225,-9,800,"THI",-9,11,1953,-9,5,1954,1,1,1,-9,0,0,14,4,1,"gml-2.1"
1225,-9,811,"CAM",-9,11,1953,-9,5,1954,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1226,-9,800,"THI",4,8,1958,6,2,1959,1,0,0,-9,0,0,8,3,1,"gml-2.1"
1226,-9,811,"CAM",4,8,1958,6,2,1959,0,1,1,-9,0,0,15,4,1,"gml-2.1"
1227,-9,800,"THI",16,6,1961,9,11,1961,0,0,0,-9,0,0,11,3,1,"gml-2.1"
1227,-9,811,"CAM",16,6,1961,9,11,1961,1,1,1,-9,0,0,7,3,1,"gml-2.1"
1228,-9,800,"THI",16,6,1962,13,11,1962,1,0,0,-9,0,0,17,4,1,"gml-2.1"
1228,-9,811,"CAM",16,6,1962,13,11,1962,0,1,1,-9,0,0,17,4,1,"gml-2.1"
1229,-9,800,"THI",14,4,1964,30,9,1966,0,0,0,-9,2,-9,17,4,1,"gml-2.1"
1229,-9,811,"CAM",14,4,1964,30,9,1966,1,1,1,-9,2,-9,17,4,1,"gml-2.1"
1230,-9,800,"THI",21,6,1967,21,6,1967,0,1,1,-9,0,0,0,1,1,"gml-2.1"
1230,-9,811,"CAM",21,6,1967,21,6,1967,1,0,0,-9,0,0,1,2,1,"gml-2.1"
1231,-9,800,"THI",29,5,1975,20,2,1976,0,0,0,-9,1,-9,17,4,1,"gml-2.1"
1231,-9,811,"CAM",29,5,1975,20,2,1976,1,0,0,-9,1,-9,17,4,1,"gml-2.1"
1232,-9,800,"THI",2,8,1976,25,6,1987,1,0,0,-9,4,-9,17,4,1,"gml-2.1"
1232,-9,811,"CAM",2,8,1976,25,6,1987,0,0,0,-9,3,-9,17,4,1,"gml-2.1"
1232,-9,816,"DRV",30,6,1980,25,6,1987,0,0,0,-9,3,-9,17,4,0,"gml-2.1"
1233,-9,305,"AUS",28,8,1921,13,10,1921,0,0,0,-9,-9,-9,17,4,1,"gml-2.1"
1233,-9,310,"HUN",28,8,1921,13,10,1921,1,1,1,-9,-9,-9,17,4,1,"gml-2.1"
1234,-9,365,"RUS",24,12,1920,12,6,1921,1,1,4,-9,0,0,7,3,1,"gml-2.1"
1234,-9,366,"EST",5,1,1921,12,6,1921,0,0,0,-9,0,0,0,1,0,"gml-2.1"
1234,-9,367,"LAT",24,12,1920,12,6,1921,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1235,-9,339,"ALB",6,8,1921,17,11,1921,0,1,2,-9,-9,-9,17,4,1,"gml-2.1"
1235,-9,345,"YUG",6,8,1921,17,11,1921,1,0,0,-9,-9,-9,17,4,1,"gml-2.1"
1238,-9,750,"IND",22,10,1947,1,1,1949,1,0,0,-9,6,-9,20,5,1,"gml-2.1"
1238,-9,770,"PAK",22,10,1947,1,1,1949,0,1,1,-9,6,-9,20,5,1,"gml-2.1"
1240,-9,345,"YUG",-9,9,1923,15,9,1923,1,1,2,-9,0,0,7,3,1,"gml-2.1"
1240,-9,355,"BUL",-9,9,1923,15,9,1923,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1241,-9,350,"GRC",16,10,1925,29,10,1925,1,1,2,-9,-9,-9,17,4,1,"gml-2.1"
1241,-9,355,"BUL",16,10,1925,29,10,1925,0,0,0,-9,-9,-9,17,4,1,"gml-2.1"
1243,-9,290,"POL",10,3,1938,20,3,1938,0,1,2,-9,1,-9,17,4,1,"gml-2.1"
1243,-9,368,"LIT",10,3,1938,20,3,1938,1,0,0,-9,0,0,17,4,1,"gml-2.1"
1244,-9,290,"POL",21,9,1938,2,10,1938,1,1,1,-9,0,0,7,3,1,"gml-2.1"
1244,-9,315,"CZE",21,9,1938,2,10,1938,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1245,-9,360,"ROM",24,9,1938,24,9,1938,1,NA,-9,-9,0,0,1,2,1,"gml-2.1"
1245,-9,310,"HUN",24,9,1938,24,9,1938,0,0,0,-9,0,0,0,1,1,"gml-2.1"
1245,-9,345,"YUG",24,9,1938,24,9,1938,1,0,0,-9,0,0,1,2,1,"gml-2.1"
1246,-9,310,"HUN",12,10,1938,2,11,1938,1,1,1,-9,-9,-9,16,4,1,"gml-2.1"
