"dispnum3","incidnum3","stday","stmon","styear","endday","endmon","endyear","duration","tbi","fatality","fatalpre","action","hostlev","numa","revtype1","revtype2","version"
4537,4537025,24,10,2008,28,10,2008,5,34,0,0,16,4,1,2,0,"gml-2.1"
4537,4537026,1,12,2008,2,12,2008,2,15,0,0,16,4,1,2,0,"gml-2.1"
4537,4537027,17,12,2008,17,12,2008,1,19,0,0,16,4,1,2,0,"gml-2.1"
4537,4537028,5,1,2009,5,1,2009,1,30,0,0,16,4,1,2,0,"gml-2.1"
4537,4537029,4,2,2009,5,2,2009,2,35,0,0,16,4,1,2,0,"gml-2.1"
4537,4537030,12,3,2009,12,3,2009,1,48,0,0,16,4,1,2,0,"gml-2.1"
4537,4537031,29,4,2009,29,4,2009,1,29,0,0,16,4,1,2,0,"gml-2.1"
4537,4537032,28,5,2009,28,5,2009,1,-9,0,0,16,4,1,2,0,"gml-2.1"
4538,4538001,28,8,2007,29,8,2007,2,-9,0,0,15,4,1,0,0,"gml-2.1"
4539,4539001,6,9,2007,6,9,2007,1,0,0,0,16,4,1,2,0,"gml-2.1"
4539,4539002,6,9,2007,6,9,2007,1,-9,0,0,16,4,1,0,0,"gml-2.1"
4540,4540001,26,10,2008,26,10,2008,1,-9,0,0,16,4,1,2,0,"gml-2.1"
4541,4541001,5,11,2008,5,11,2008,1,-9,0,0,1,2,1,2,0,"gml-2.1"
4542,4542001,27,1,2009,27,1,2009,1,-9,0,0,16,4,1,0,0,"gml-2.1"
4543,4543001,25,2,2009,25,2,2009,1,0,0,0,7,3,1,0,0,"gml-2.1"
4543,4543002,25,2,2009,25,2,2009,1,-9,0,0,16,4,1,0,0,"gml-2.1"
4544,4544001,17,8,2009,17,8,2009,1,-9,0,0,16,4,1,0,0,"gml-2.1"
4545,4545001,11,9,2009,11,9,2009,1,46,0,0,16,4,1,2,0,"gml-2.1"
4545,4545002,27,10,2009,27,10,2009,1,63,0,0,16,4,1,2,0,"gml-2.1"
4545,4545003,29,12,2009,29,12,2009,1,0,0,0,7,3,1,2,0,"gml-2.1"
4545,4545004,29,12,2009,29,12,2009,1,13,0,0,16,4,1,2,0,"gml-2.1"
4545,4545005,11,1,2010,11,1,2010,1,0,0,0,7,3,1,2,0,"gml-2.1"
4545,4545006,11,1,2010,11,1,2010,1,6,0,0,16,4,1,2,0,"gml-2.1"
4545,4545007,17,1,2010,17,1,2010,1,9,0,0,12,3,1,2,0,"gml-2.1"
4545,4545008,26,1,2010,26,1,2010,1,19,0,0,1,2,1,2,0,"gml-2.1"
4545,4545009,14,2,2010,14,2,2010,1,26,0,0,7,3,1,2,0,"gml-2.1"
4545,4545010,12,3,2010,12,3,2010,1,9,0,0,12,3,1,2,0,"gml-2.1"
4545,4545011,21,3,2010,21,3,2010,1,0,0,0,7,3,1,2,0,"gml-2.1"
4545,4545012,21,3,2010,21,3,2010,1,4,0,0,16,4,1,2,0,"gml-2.1"
4545,4545013,25,3,2010,25,3,2010,1,7,0,0,8,3,1,2,0,"gml-2.1"
4545,4545014,1,4,2010,1,4,2010,1,9,0,0,7,3,1,2,0,"gml-2.1"
4545,4545015,10,4,2010,10,4,2010,1,7,0,0,12,3,1,2,0,"gml-2.1"
4545,4545016,17,4,2010,17,4,2010,1,45,0,0,8,3,1,2,0,"gml-2.1"
4545,4545017,1,6,2010,1,6,2010,1,0,0,0,7,3,1,2,0,"gml-2.1"
4545,4545018,1,6,2010,1,6,2010,1,38,0,0,16,4,1,2,0,"gml-2.1"
4545,4545019,9,7,2010,9,7,2010,1,17,0,0,11,3,1,2,0,"gml-2.1"
4545,4545020,26,7,2010,26,7,2010,1,8,0,0,11,3,1,2,0,"gml-2.1"
4545,4545021,3,8,2010,3,8,2010,1,0,1125,1,17,4,1,2,0,"gml-2.1"
4545,4545022,3,8,2010,3,8,2010,1,48,0,0,16,4,1,2,0,"gml-2.1"
4545,4545023,20,9,2010,20,9,2010,1,37,0,0,8,3,1,2,0,"gml-2.1"
4545,4545024,27,10,2010,27,10,2010,1,13,0,0,7,3,1,2,0,"gml-2.1"
4545,4545025,9,11,2010,9,11,2010,1,48,0,0,7,3,1,2,0,"gml-2.1"
4545,4545026,27,12,2010,27,12,2010,1,-9,0,0,7,3,1,2,0,"gml-2.1"
4546,4546001,17,12,2009,28,1,2010,43,-9,0,0,14,4,1,1,0,"gml-2.1"
4547,4547001,11,5,2010,11,5,2010,1,18,0,0,17,4,1,2,0,"gml-2.1"
4547,4547002,29,5,2010,21,6,2010,24,35,0,0,16,4,1,2,0,"gml-2.1"
4547,4547003,26,7,2010,26,7,2010,1,19,0,0,14,4,1,2,0,"gml-2.1"
4547,4547004,14,8,2010,14,8,2010,1,42,1,2,16,4,1,2,0,"gml-2.1"
4547,4547005,25,9,2010,25,9,2010,1,-9,1,-9,16,4,1,2,0,"gml-2.1"
4548,4548001,30,5,2010,30,5,2010,1,-9,0,0,7,3,1,2,0,"gml-2.1"
4550,4550001,29,5,2005,1,6,2005,4,-9,0,0,15,4,1,2,0,"gml-2.1"
4551,4551001,13,7,2005,23,7,2005,11,-9,0,0,7,3,1,1,0,"gml-2.1"
4552,4552003,4,3,2002,4,3,2002,1,186,0,0,11,3,1,2,0,"gml-2.1"
4552,4552006,6,9,2002,6,9,2002,1,32,0,0,17,4,1,0,0,"gml-2.1"
4552,4552007,8,10,2002,8,10,2002,1,24,1,-9,17,4,1,0,0,"gml-2.1"
4552,4552008,1,11,2002,2,11,2002,2,165,1,-9,17,4,1,0,0,"gml-2.1"
4552,4552012,16,4,2003,16,4,2003,1,7,0,0,17,4,1,0,0,"gml-2.1"
4552,4552013,23,4,2003,23,4,2003,1,-9,0,0,17,4,1,0,0,"gml-2.1"
4552,4552014,-9,6,2003,-9,6,2003,-9,-9,0,0,11,3,1,2,0,"gml-2.1"
4552,4552015,6,6,2003,6,6,2003,1,18,0,0,12,3,1,0,0,"gml-2.1"
